run,md5,blake2b,sha256,sha512
1,0.538999796,0.513999224,0.53699851,0.535999537
2,0.530001402,0.529001236,0.540000916,0.542000532
3,0.548003435,0.544999599,0.532000303,0.522000313
4,0.534999609,0.53000021,0.526000977,0.52099967
5,0.53800106,0.511000156,0.518999338,0.534999847
6,0.548000574,0.536998749,0.531999826,0.535003424
7,0.524999619,0.51646924,0.546000242,0.532998562
8,0.540001631,0.526998758,0.548041105,0.525000334
9,0.536002159,0.535000086,0.53800106,0.565000057
10,0.527997017,0.531998873,0.520000458,0.517001152
,,,,
mean,0.53670063,0.527646613,0.533804274,0.533100343
stdev,0.007309197,0.010284395,0.009459264,0.013064768
